pm10,month,pm10_40,pm10_60
42,894,40,39
33,895,31,30
34,896,32,31
27,897,25,25
24,898,23,22
34,899,32,31
28,900,26,25
28,901,26,25
33,902,31,30
35,903,33,32
28,904,26,26
24,905,22,22
37,906,35,34
26,907,24,23
26,908,24,23
38,909,35,34
16,910,14,14
22,911,20,20
35,912,32,32
27,913,25,24
38,914,36,35
23,915,22,21
21,916,20,19
21,917,19,19
21,918,19,19
22,919,20,19
22,920,20,19
27,921,25,24
28,922,26,25
29,923,27,26
34,924,32,31
42,925,39,39
29,926,27,27
29,927,27,26
22,928,21,20
19,929,17,17
22,930,21,20
23,931,21,20
23,932,21,21
27,933,25,25
31,934,29,28
25,935,23,22
21,936,19,19
34,937,31,31
22,938,20,20
24,939,23,22
36,940,34,33
13,941,12,11
20,942,18,18
30,943,28,27
23,944,21,21
31,945,29,28
22,946,20,20
19,947,18,17
19,948,18,17
16,949,15,15
18,950,16,16
20,951,18,18
20,952,19,18
24,953,22,21
25,954,23,22
32,955,30,29
37,956,34,34
26,957,24,24
26,958,24,24
17,959,16,15
15,960,13,13
17,961,16,15
19,962,17,17
19,963,17,17
23,964,21,21
27,965,25,24
20,966,18,18
16,967,15,14
28,968,26,26
17,969,15,15
20,970,18,18
33,971,30,30
13,972,11,11
10,973,9,9
20,974,18,18
15,975,14,13
23,976,21,21
19,977,17,17
14,978,13,12
12,979,11,10
12,980,10,10
12,981,11,11
14,982,13,13
16,983,14,14
19,984,17,17
19,985,18,17
28,986,26,25
26,987,24,24
18,988,16,16
40,989,38,37
25,990,24,23
21,991,19,19
29,992,27,27
21,993,19,18
20,994,18,18
24,995,23,22
22,996,21,20
19,997,18,17
NA,998,NA,NA
NA,999,NA,NA
NA,1000,NA,NA
NA,1001,NA,NA
NA,1002,NA,NA
NA,1003,NA,NA
NA,1004,NA,NA
NA,1005,NA,NA
NA,1006,NA,NA
NA,1007,NA,NA
NA,1008,NA,NA
NA,1009,NA,NA
NA,1010,NA,NA
NA,1011,NA,NA
NA,1012,NA,NA
NA,1013,NA,NA
NA,1014,NA,NA
NA,1015,NA,NA
NA,1016,NA,NA
NA,1017,NA,NA
NA,1018,NA,NA
NA,1019,NA,NA
28,1020,26,25
22,1021,21,20
18,1022,16,16
26,1023,24,24
24,1024,22,22
21,1025,19,19
30,1026,28,27
27,1027,25,24
23,1028,21,21
10,1029,9,8
14,1030,13,12
20,1031,18,18
22,1032,20,20
19,1033,18,17
15,1034,14,13
12,1035,11,11
11,1036,10,10
22,1037,21,20
23,1038,21,21
36,1039,34,33
27,1040,25,25
21,1041,19,19
10,1042,8,8
11,1043,10,10
26,1044,24,23
32,1045,30,29
19,1046,17,17
21,1047,20,19
17,1048,16,15
23,1049,21,20
22,1050,20,20
19,1051,17,17
17,1052,15,15
24,1053,22,21
13,1054,12,12
16,1055,14,14
15,1056,13,13
17,1057,15,15
11,1058,10,10
9,1059,8,8
15,1060,13,13
19,1061,17,17
21,1062,19,19
21,1063,19,18
16,1064,14,14
13,1065,12,11
11,1066,10,10
18,1067,17,16
14,1068,13,12
23,1069,21,21
17,1070,15,15
26,1071,24,24
11,1072,10,10
12,1073,10,10
26,1074,24,23
30,1075,28,27
21,1076,19,19
20,1077,18,17
18,1078,17,16
19,1079,17,17
20,1080,18,18
16,1081,15,14
14,1082,13,12
22,1083,20,19
13,1084,11,11
16,1085,14,14
15,1086,14,13
16,1087,15,14
11,1088,9,9
8,1089,7,6
15,1090,14,14
18,1091,16,16
20,1092,18,18
15,1093,13,13
15,1094,13,13
12,1095,10,10
10,1096,9,9
16,1097,15,15
18,1098,16,16
23,1099,21,20
20,1100,19,18
17,1101,16,16
12,1102,10,10
10,1103,9,9
22,1104,21,20
25,1105,23,23
21,1106,19,19
20,1107,19,18
19,1108,17,17
17,1109,15,15
19,1110,17,17
10,1111,8,8
12,1112,11,10
10,1113,9,9
10,1114,8,8
9,1115,8,8
9,1116,7,7
9,1117,8,8
6,1118,5,5
5,1119,4,4
8,1120,6,6
12,1121,11,11
15,1122,13,13
9,1123,7,7
9,1124,8,7
7,1125,6,6
6,1126,5,5
10,1127,9,9
14,1128,12,12
15,1129,14,14
10,1130,8,8
9,1131,8,7
5,1132,4,4
6,1133,5,5
10,1134,9,9
10,1135,9,9
10,1136,9,8
8,1137,7,7
11,1138,10,9
12,1139,11,11
NA,1140,NA,NA
NA,1141,NA,NA
NA,1142,NA,NA
NA,1143,NA,NA
NA,1144,NA,NA
NA,1145,NA,NA
NA,1146,NA,NA
NA,1147,NA,NA
NA,1148,NA,NA
NA,1149,NA,NA
NA,1150,NA,NA
NA,1151,NA,NA
NA,1152,NA,NA
NA,1153,NA,NA
NA,1154,NA,NA
NA,1155,NA,NA
NA,1156,NA,NA
NA,1157,NA,NA
NA,1158,NA,NA
NA,1159,NA,NA
NA,1160,NA,NA
NA,1161,NA,NA
NA,1162,NA,NA
NA,1163,NA,NA
NA,1164,NA,NA
NA,1165,NA,NA
NA,1166,NA,NA
NA,1167,NA,NA
NA,1168,NA,NA
NA,1169,NA,NA
6,1170,5,5
5,1171,4,4
7,1172,6,6
7,1173,6,6
9,1174,7,7
9,1175,8,8
9,1176,8,8
11,1177,9,9
10,1178,8,8
19,1179,17,17
33,1180,30,30
29,1181,27,27
19,1182,17,17
11,1183,9,9
18,1184,17,16
19,1185,18,17
26,1186,24,24
29,1187,27,26
12,1188,10,10
14,1189,12,12
13,1190,11,11
14,1191,12,12
27,1192,25,25
95,1193,91,89
103,1194,98,96
66,1195,62,61
28,1196,26,26
16,1197,15,14
13,1198,11,11
18,1199,16,16
22,1200,20,20
21,1201,19,19
18,1202,17,16
18,1203,17,16
26,1204,24,23
22,1205,20,20
27,1206,25,25
24,1207,22,22
17,1208,15,15
25,1209,23,23
23,1210,21,21
14,1211,12,12
10,1212,9,9
16,1213,15,15
17,1214,15,15
22,1215,20,20
23,1216,21,20
12,1217,10,10
14,1218,13,12
13,1219,11,11
13,1220,11,11
34,1221,32,31
101,1222,96,94
105,1223,100,98
62,1224,58,57
27,1225,25,24
16,1226,15,14
15,1227,13,13
18,1228,17,16
18,1229,16,16
28,1230,26,25
16,1231,15,14
17,1232,16,15
27,1233,25,24
18,1234,16,16
22,1235,20,20
18,1236,16,16
14,1237,12,12
24,1238,22,21
22,1239,21,20
12,1240,11,11
10,1241,9,8
14,1242,13,13
20,1243,19,18
23,1244,21,21
23,1245,21,21
17,1246,15,15
23,1247,21,21
14,1248,13,12
13,1249,12,12
26,1250,24,24
97,1251,92,90
102,1252,98,96
60,1253,57,56
28,1254,26,25
19,1255,17,17
15,1256,14,14
17,1257,15,15
20,1258,18,18
21,1259,19,19
18,1260,16,16
22,1261,20,19
24,1262,22,22
18,1263,16,16
23,1264,21,21
21,1265,19,19
10,1266,9,9
17,1267,15,15
14,1268,13,12
8,1269,7,7
6,1270,5,5
8,1271,7,7
7,1272,6,6
15,1273,13,13
14,1274,13,13
5,1275,4,4
6,1276,5,5
6,1277,5,5
7,1278,6,6
19,1279,18,17
95,1280,90,89
107,1281,102,100
61,1282,57,56
18,1283,16,16
8,1284,7,7
14,1285,13,13
10,1286,9,8
13,1287,11,11
9,1288,8,8
9,1289,8,8
12,1290,11,11
16,1291,15,14
17,1292,15,15
18,1293,16,16
19,1294,18,17
NA,1295,NA,NA
NA,1296,NA,NA
NA,1297,NA,NA
NA,1298,NA,NA
NA,1299,NA,NA
NA,1300,NA,NA
NA,1301,NA,NA
NA,1302,NA,NA
NA,1303,NA,NA
NA,1304,NA,NA
NA,1305,NA,NA
NA,1306,NA,NA
NA,1307,NA,NA
NA,1308,NA,NA
161,1309,154,151
100,1310,95,93
48,1311,45,44
20,1312,18,18
13,1313,11,11
11,1314,10,10
13,1315,12,11
14,1316,12,12
11,1317,9,9
10,1318,9,9
14,1319,12,12
18,1320,17,16
15,1321,14,13
17,1322,16,15
13,1323,12,12
9,1324,8,7
13,1325,12,11
8,1326,7,7
7,1327,6,6
7,1328,6,5
12,1329,11,11
12,1330,11,10
9,1331,7,7
12,1332,11,11
5,1333,4,4
8,1334,7,7
